timestamp,symbol,direction,volume,fill_price,stop_loss,take_profit,ticket,account_mode,trigger
2026-07-22T20:01:27,AUDJPY,LONG,1.73,114.108,114.0992,114.1137,152375572639,DEMO,auto
2026-07-22T20:04:04,EURJPY,LONG,1.5,186.153,186.1443,186.161,152375583829,DEMO,auto
2026-07-22T20:07:50,EURCHF,LONG,0.01,0.92963,0.9296,0.9297,152375597080,DEMO,auto
